idx,original_post,sentence1,sentence2,automatic_antithesis,gold_label,real_antithesis,contrast
11,"Platz 1, 2 und 3 heute in der „Bundesliga“ – der Relevanz Rangliste von 10000flies, die die Benchmark ist in der Branche, die täglich misst, welche Artikel in deutschen Medien am öftesten in den sozialen Medien geteilt wurden und damit am relevantesten sind. Spiegel, Focus, Bild, alle großen – weit abgehängt! Kaum zu glauben! Das ist so, wie wenn der Buxtehuder SC um die Meisterschaft mitspielt, sagte ich meinem Team. Einer antwortete, wir seien eher RB Leipzig auf dem Weg nach oben. Da sind mir die Fußstapfen aber doch etwas zu groß. Und wir haben auch keinen Getränkehersteller im Rücken, für meine Apfelschorle zahle ich immer noch selbst )",die täglich misst,weit abgehängt,0,0,0,0
12,"Platz 1, 2 und 3 heute in der „Bundesliga“ – der Relevanz Rangliste von 10000flies, die die Benchmark ist in der Branche, die täglich misst, welche Artikel in deutschen Medien am öftesten in den sozialen Medien geteilt wurden und damit am relevantesten sind. Spiegel, Focus, Bild, alle großen – weit abgehängt! Kaum zu glauben! Das ist so, wie wenn der Buxtehuder SC um die Meisterschaft mitspielt, sagte ich meinem Team. Einer antwortete, wir seien eher RB Leipzig auf dem Weg nach oben. Da sind mir die Fußstapfen aber doch etwas zu groß. Und wir haben auch keinen Getränkehersteller im Rücken, für meine Apfelschorle zahle ich immer noch selbst )",die täglich misst,Kaum zu glauben,0,0,0,0
13,"Platz 1, 2 und 3 heute in der „Bundesliga“ – der Relevanz Rangliste von 10000flies, die die Benchmark ist in der Branche, die täglich misst, welche Artikel in deutschen Medien am öftesten in den sozialen Medien geteilt wurden und damit am relevantesten sind. Spiegel, Focus, Bild, alle großen – weit abgehängt! Kaum zu glauben! Das ist so, wie wenn der Buxtehuder SC um die Meisterschaft mitspielt, sagte ich meinem Team. Einer antwortete, wir seien eher RB Leipzig auf dem Weg nach oben. Da sind mir die Fußstapfen aber doch etwas zu groß. Und wir haben auch keinen Getränkehersteller im Rücken, für meine Apfelschorle zahle ich immer noch selbst )",weit abgehängt,Kaum zu glauben,0,0,0,0
14,"Während Deutschland im Kampf gegen Corona auf Maskenpflicht, Verbote, Schließungen und Sonderrechte für Geimpfte setzt, gehen viele US Bundesstaaten den umgekehrten Weg: Texas etwa verbietet jetzt die Maskenpflicht. Auch Privilegien für Geimpfte sind dort verboten. Freiheit und Verantwortung des Einzelnen habe Vorrang, so der Gouverneur. ",Während Deutschland im Kampf gegen Corona auf Maskenpflicht,Freiheit und Verantwortung des Einzelnen habe Vorrang,0,0,0,1
15,"Während Deutschland im Kampf gegen Corona auf Maskenpflicht, Verbote, Schließungen und Sonderrechte für Geimpfte setzt, gehen viele US Bundesstaaten den umgekehrten Weg: Texas etwa verbietet jetzt die Maskenpflicht. Auch Privilegien für Geimpfte sind dort verboten. Freiheit und Verantwortung des Einzelnen habe Vorrang, so der Gouverneur. ",Schließungen und Sonderrechte für Geimpfte setzt,Freiheit und Verantwortung des Einzelnen habe Vorrang,0,0,0,1
16,"Kaum habe ich eine neue Seite, schon habe ich auch ein neues Kanal Video. Ein Kino Profi hat sich inspirieren lassen von zwei Kurzfilmen und als kleines Geschenk für meine Seite einen Kurzfilm  geschnitten. Man merkt ihm an, dass nicht ich ihn gemacht habe – ich finde ihn sehr berührend. Voilá: ",Kaum habe ich eine neue Seite,schon habe ich auch ein neues Kanal Video,0,0,0,0
17,Bundespräsident Steinmeier liebt die große Geste. Corona bedingt fällt die jetzt jedoch etwas kleiner aus. So die Einbürgerungsfeier zum Geburtstag des Grundgesetzes. Nicht nur das Singen der Nationalhymne fiel den Hygienemaßnahmen zum Opfer.,Bundespräsident Steinmeier liebt die große Geste,Nicht nur das Singen der Nationalhymne fiel den Hygienemaßnahmen zum Opfer,0,0,0,0
18,"Es sind abenteuerliche Verdachtsmomente, die mir da per 'förmlicher Zustellung' aus Schladen Werla ins Haus flatterten. Was mir die Gemeinde vorhält, macht mir fast schon Angst vor mir selbst. Aber lesen Sie hier mit eigenen Augen, womit Verwaltungen heutzutage beschäftigt sind. ",Es sind abenteuerliche Verdachtsmomente,förmlicher Zustellung,0,0,0,0
19,"Wir haben in den letzten Jahren gesehen, wie der Bevölkerung schleichend beigebracht wurde, dass sie nicht mehr alles sagen durfte, auch nicht mehr alles denken, und vor allem einer Ideologie zu folgen hatte, die, vom Klima bis zur Migration, große Verbotsschilder aufgestellt hatte, welche die Menschen einschüchtern sollten. Sönke Paulsen über die Probleme mit der Meinungsfreiheit in Deutschland…und Widerstand gegen die Gesinnungswärter: ",wie der Bevölkerung schleichend beigebracht wurde,welche die Menschen einschüchtern sollten,0,0,0,0
20,"Wir haben in den letzten Jahren gesehen, wie der Bevölkerung schleichend beigebracht wurde, dass sie nicht mehr alles sagen durfte, auch nicht mehr alles denken, und vor allem einer Ideologie zu folgen hatte, die, vom Klima bis zur Migration, große Verbotsschilder aufgestellt hatte, welche die Menschen einschüchtern sollten. Sönke Paulsen über die Probleme mit der Meinungsfreiheit in Deutschland…und Widerstand gegen die Gesinnungswärter: ",vor allem einer Ideologie zu folgen hatte,welche die Menschen einschüchtern sollten,0,0,0,0
21,"Es sind ungeheuerliche Verdachtsmomente, die der Ex Vize Chef des Sachverständigenrates Gesundheit mit neun Forschern aufwirft: Schummelei mit Intensivbetten. Die das ganze Fundament der harten Corona Politik in Frage stellen könnten. Und wie reagieren die Medien? Mit Schweigen. Unglaublich.  ",Es sind ungeheuerliche Verdachtsmomente,Schummelei mit Intensivbetten,0,0,0,0
22,"Hurra! Es ist es so weit: Meine Seite ist runderneuert und technisch stabil aufgestellt! Ich hoffe sehr, dass sie Ihnen im dezent veränderten Gewand gefällt! Auch wenn die Umstellung nicht ohne technischen Slapstick abging 😉 Zur Feier verlose ich Bücher! ",dass sie Ihnen im dezent veränderten Gewand gefällt,Auch wenn die Umstellung nicht ohne technischen Slapstick abging,0,0,0,0
23,"Denken Sie an Burger, wenn Sie an Impfungen denken!' Bizarre Impfkampagne, die man zuerst für Satire hält: New Yorks Bürgermeister de Blasio versucht, mit Pommes und Burger Appetit auf den 'kleinen Pieks' zu machen – surreale Szenen aus den Vereinigten Staaten.  ",wenn Sie an Impfungen denken,die man zuerst für Satire hält,0,0,0,0
24,"Denken Sie an Burger, wenn Sie an Impfungen denken!' Bizarre Impfkampagne, die man zuerst für Satire hält: New Yorks Bürgermeister de Blasio versucht, mit Pommes und Burger Appetit auf den 'kleinen Pieks' zu machen – surreale Szenen aus den Vereinigten Staaten.  ",Bizarre Impfkampagne,kleinen Pieks,0,0,0,0
25,Politische Bombe: Schummeleien mit den Zahlen aus den Intensivstationen? Eine Überlastung der Intensivstationen zu vermeiden – das war und ist die wichtigste Begründung für den Lockdown. Forscher um den Ex Vize Chef des Sachverständigenrates Gesundheit bringen dieses Mantra der harten deutschen Corona Politik nun ins Wanken – mit einem Papier mit höchster Sprengkraft.,Schummeleien mit den Zahlen aus den Intensivstationen,mit einem Papier mit höchster Sprengkraft,0,0,0,1
26,"Wenn menschliche Wärme auf die kalte Ablehnung der Staatsorgane stößt: In Nürnberg wurde ein Hartz IV Empfänger zu 1.350 Euro Strafe verurteilt, weil er auf Demonstrationen Freunden und Bekannten die Hand gegeben und sie zum Teil umarmt hat. Absurd: Vor oder nach der Demo wäre sein Verhalten straffrei geblieben. ",Wenn menschliche Wärme auf die kalte Ablehnung der Staatsorgane stößt,weil er auf Demonstrationen Freunden und Bekannten die Hand gegeben und sie zum Teil umarmt hat,0,0,1,1
27,"Ich bin dann mal weg....heute in einer Woche 'mache ich rüber': Ich fliege nach Moskau, in das Land, das meine zweite Heimat geworden ist. Es wird eine Zeitreise werden, sagen mir diejenigen, die in diesen Wochen dort waren: Das Leben ist dort weitgehend das Gleiche wie vor Corona. Ich bin sehr gespannt. Und freue mich auf Sauna, Schwimmbad und Restaurants.  ",Ich bin dann mal weg,Ich bin sehr gespannt,0,0,0,0
28,"Ich bin dann mal weg....heute in einer Woche 'mache ich rüber': Ich fliege nach Moskau, in das Land, das meine zweite Heimat geworden ist. Es wird eine Zeitreise werden, sagen mir diejenigen, die in diesen Wochen dort waren: Das Leben ist dort weitgehend das Gleiche wie vor Corona. Ich bin sehr gespannt. Und freue mich auf Sauna, Schwimmbad und Restaurants.  ",Es wird eine Zeitreise werden,die in diesen Wochen dort waren,0,0,0,0
29,"In Zagreb kommen meiner Frau und mir fast die Tränen: Der erste Restaurantbesuch für uns seit sieben Monaten. Draußen herrscht Partyleben. Alle Straßencafés zum Bersten voll. Es wird gefeiert, getrunken, getanzt und sich umarmt, als gäbe es kein Morgen. Wir fühlen uns wie auf einem anderen Planeten.“ Ein Reisebericht aus der Freiheit. ",In Zagreb kommen meiner Frau,Ein Reisebericht aus der Freiheit,0,0,0,0
30,"Vier Monate vor der Bundestagswahl ziehen die Grünen in mehreren Umfragen gerade an der CDU/CSU vorbei. Offenbar bevorzugt der Wähler, wenn schon fast alle Parteien sich auf den grünen Weltrettungskurs begeben haben, dann doch das Original. Wie kann Armin Laschet das Ruder für die Union noch rumreißen? Ein Gastbeitrag des SPD Ost Mitbegründers und langjährigen Bundestagsabgeordneten Gunter Weißgerber. ",Offenbar bevorzugt der Wähler,dann doch das Original,0,0,0,0
31,"Auch der wohlwollendste demokratische Politiker kann der Versuchung erliegen, zum autoritären Herrscher zu werden, wenn seine Macht nicht begrenzt wird. Eine funktionierende Demokratie braucht deshalb unabhängige Gerichte, freie Wahlen, mündige Bürger, ein „sprechendes“ Parlament und vor allem eine Presse, in der jeder Standpunkt offen diskutiert werden kann. Eine Presse, die sich mit der Regierung verbrüdert, verrät die Demokratie. ",freie Wahlen,mündige Bürger,0,0,0,0
32,"Wir sagen Danke' – eine Collage von Leser  und Zuschauerfotos aus ganz Deutschland.  Danke für dieses tolle Geburtstagsgeschenk aus meinem Team, das ich gerne mit Ihnen teile. Und ganz herzlichen Dank an alle Fotografen und Unterstützer, die die Motive lieferten. Ich bin wirklich tief bewegt!  Und an dieser Stelle noch ein besonders großes Dankeschön für alle Geburtstagswünsche – es waren so viele, dass ich es nicht schaffe, alle einzeln zu beantworten, dafür bitte ich um Verständnis und Entschuldigung!!",Danke für dieses tolle Geburtstagsgeschenk aus meinem Team,Und an dieser Stelle noch ein besonders großes Dankeschön für alle Geburtstagswünsche,0,0,0,0
33,"Wir sagen Danke' – eine Collage von Leser  und Zuschauerfotos aus ganz Deutschland.  Danke für dieses tolle Geburtstagsgeschenk aus meinem Team, das ich gerne mit Ihnen teile. Und ganz herzlichen Dank an alle Fotografen und Unterstützer, die die Motive lieferten. Ich bin wirklich tief bewegt!  Und an dieser Stelle noch ein besonders großes Dankeschön für alle Geburtstagswünsche – es waren so viele, dass ich es nicht schaffe, alle einzeln zu beantworten, dafür bitte ich um Verständnis und Entschuldigung!!",Und ganz herzlichen Dank an alle Fotografen und Unterstützer,Und an dieser Stelle noch ein besonders großes Dankeschön für alle Geburtstagswünsche,0,0,0,0
34,"Ist es für das Wahlergebnis nicht egal, ob man per Briefwahl seine Stimme abgibt oder im Wahllokal? Nein. Nur die Wahlkabine ist der Ort, wo man wirklich unbeobachtet und frei vom Einfluss anderer sein Kreuz machen kann. Ihr Wert sollte nicht gering geschätzt werden. Ein Gastbeitrag von Gunter Weißgerber, Mitbegründer der Ost SPD und langjähriger Bundestagsabgeordneter. ",ob man per Briefwahl seine Stimme abgibt oder im Wahllokal,Mitbegründer der Ost SPD und langjähriger Bundestagsabgeordneter,0,0,0,0
35,"Offenbar hat man in Österreich genügend medizinisches Fachpersonal, so dass man in der Corona Pandemie auch eine Notärztin entlassen kann. Die hatte bei der Behandlung von Impfreaktionen »gepoltert«, man solle »den Dreck nicht weiter verimpfen« und »aufhören, die Menschen damit umzubringen«. Deswegen ist ihr jetzt fristlos gekündigt worden. ",den Dreck nicht weiter verimpfen,die Menschen damit umzubringen,0,0,0,1
36,Anna Kalis: „Den Mainstream Medien laufen die Leser davon. Oder wie ARD Chef Tom Buhrow sagen würde:  ‘Vertrauen in klassische Medien hat extrem zugenommen‘.“,Den Mainstream Medien laufen die Leser davon,Oder wie ARD Chef Tom Buhrow sagen würde,0,0,0,1
37,"„Wir fordern sofortige Öffnung unserer Geschäfte!“ Das sagte die Schuhhändlerin Brigitte Meier aus München in der ARD Talksendung bei Anne Will. Das war im Januar. Mittelständische Unternehmen sind bis heute im Lockdown. Mal mehr, mal weniger. Ein Ende ist nicht abzusehen. Tausende Unternehmer und deren Mitarbeiter haben jetzt eine spektakuläre „Briefwahlaktion“ gestartet. „Warum sollen wir Sie wählen?“, fragen sie ihre Bundestagskandidaten. Politiker im Erklärungsnotstand! Corona Kollateralschaden, millionenfach! ",Mal mehr,mal weniger,0,1,1,1
38,"„Wir fordern sofortige Öffnung unserer Geschäfte!“ Das sagte die Schuhhändlerin Brigitte Meier aus München in der ARD Talksendung bei Anne Will. Das war im Januar. Mittelständische Unternehmen sind bis heute im Lockdown. Mal mehr, mal weniger. Ein Ende ist nicht abzusehen. Tausende Unternehmer und deren Mitarbeiter haben jetzt eine spektakuläre „Briefwahlaktion“ gestartet. „Warum sollen wir Sie wählen?“, fragen sie ihre Bundestagskandidaten. Politiker im Erklärungsnotstand! Corona Kollateralschaden, millionenfach! ",Tausende Unternehmer,Corona Kollateralschaden,0,0,1,1
39,"Die Auslastung der Intensivstationen ist zu einem der beliebtesten Gradmesser der Corona Krise avanciert. Marcel Luthe, Spitzenkandidat der Freien Wähler Berlin, erhebt schwere Vorwürfe gegen den Senat. Die Zahl der belegbaren Betten sei nicht faktisch, sondern nur durch Umdefinition verändert worden. ",Spitzenkandidat der Freien Wähler Berlin,erhebt schwere Vorwürfe gegen den Senat,0,0,0,1
40,"Forscher am berühmten Whitehead Institute for Biomedical Research haben jetzt entdeckt, warum der PCR Test auch positiv sein kann, wenn keine Viruslast mit SARS CoV 2 besteht. Das wirft weitere Fragen zur  Aussagekraft von PCR Tests in Sachen Corona auf. ",Forscher am berühmten Whitehead Institute for Biomedical Research haben jetzt entdeckt,Das wirft weitere Fragen zur  Aussagekraft von PCR Tests in Sachen Corona auf,0,0,0,1
41,"Behalten Sie ihre FFP2 Maske während des gesamten Aktes auf und atmen sie nicht zu stark': SARS CoV2 ist in alle Bereiche des menschlichen Lebens vorgedrungen. Selbst ins Bett. Sönke Paulsen hat das zum Anlass genommen, die Regeln einmal zu Ende zu denken. Herausgekommen ist der 'kleine Corona Knigge': ein bitteres Stück Galgenhumor, bei dem einem das Lachen immer wieder im Halse stecken bleibt. ",kleine Corona Knigge,ein bitteres Stück Galgenhumor,0,0,0,0
42,"Doppelte Schallmauer: Mein Tagesbriefing hat fast 15.000 Abonnenten, das Wochenbriefing fast 2000. An die 'runden' Abonnenten verschenke ich je 3 Bücher von mir. Viel Glück!  Kostenloses Abo hier:  Wochenbriefing:   Tagesbriefing: ",Doppelte Schallmauer,Kostenloses Abo hier,0,0,0,0
43,"Doppelte Schallmauer: Mein Tagesbriefing hat fast 15.000 Abonnenten, das Wochenbriefing fast 2000. An die 'runden' Abonnenten verschenke ich je 3 Bücher von mir. Viel Glück!  Kostenloses Abo hier:  Wochenbriefing:   Tagesbriefing: ",Mein Tagesbriefing hat fast 15.000 Abonnenten,Abonnenten verschenke ich je 3 Bücher von mir,0,0,0,0
44,"Was heute in Deutschland ‘normal‘ geworden ist, habe ich mir nicht vorstellen können. Es sind Maßnahmen eines lupenreinen totalitären Staates, welch ‘gute‘ Absicht er damit auch immer verfolgen möge. In Russland wären diese Einschränkungen als Lehre aus der totalitären Sowjetzeit schlicht undenkbar. Was für ein Paradoxon – totalitäre Demokratien und freiheitliche Autokratien! Aber wir sind die Guten, vertraut uns!' Eine russischstämmige Psychologin rechnet mit dem Abgleiten Deutschlands ins Totalitäre ab – ein Text, der mich tief bewegt hat, und den ich wärmstens empfehle! ",habe ich mir nicht vorstellen können,der mich tief bewegt hat,0,0,1,1
45,"Was heute in Deutschland ‘normal‘ geworden ist, habe ich mir nicht vorstellen können. Es sind Maßnahmen eines lupenreinen totalitären Staates, welch ‘gute‘ Absicht er damit auch immer verfolgen möge. In Russland wären diese Einschränkungen als Lehre aus der totalitären Sowjetzeit schlicht undenkbar. Was für ein Paradoxon – totalitäre Demokratien und freiheitliche Autokratien! Aber wir sind die Guten, vertraut uns!' Eine russischstämmige Psychologin rechnet mit dem Abgleiten Deutschlands ins Totalitäre ab – ein Text, der mich tief bewegt hat, und den ich wärmstens empfehle! ",totalitäre Demokratien,freiheitliche Autokratien,0,1,1,1
46,"Was heute in Deutschland ‘normal‘ geworden ist, habe ich mir nicht vorstellen können. Es sind Maßnahmen eines lupenreinen totalitären Staates, welch ‘gute‘ Absicht er damit auch immer verfolgen möge. In Russland wären diese Einschränkungen als Lehre aus der totalitären Sowjetzeit schlicht undenkbar. Was für ein Paradoxon – totalitäre Demokratien und freiheitliche Autokratien! Aber wir sind die Guten, vertraut uns!' Eine russischstämmige Psychologin rechnet mit dem Abgleiten Deutschlands ins Totalitäre ab – ein Text, der mich tief bewegt hat, und den ich wärmstens empfehle! ",der mich tief bewegt hat,den ich wärmstens empfehle,0,0,1,1
47,"Was bedeutet der Spruch: „Die Grünen auf die Palmer zu bringen“? Interne Diskussionen unter der Decke zu halten und ein geschöntes Bild an die Öffentlichkeit zu bringen, ist das Hauptmerkmal der Öffentlichkeitsarbeit von Sekten. Und heute auch der Grünen. ",Die Grünen auf die Palmer zu bringen,Interne Diskussionen unter der Decke zu halten,1,0,0,0
48,"Was bedeutet der Spruch: „Die Grünen auf die Palmer zu bringen“? Interne Diskussionen unter der Decke zu halten und ein geschöntes Bild an die Öffentlichkeit zu bringen, ist das Hauptmerkmal der Öffentlichkeitsarbeit von Sekten. Und heute auch der Grünen. ",Die Grünen auf die Palmer zu bringen,ein geschöntes Bild an die Öffentlichkeit zu bringen,1,0,0,0
49,"Was bedeutet der Spruch: „Die Grünen auf die Palmer zu bringen“? Interne Diskussionen unter der Decke zu halten und ein geschöntes Bild an die Öffentlichkeit zu bringen, ist das Hauptmerkmal der Öffentlichkeitsarbeit von Sekten. Und heute auch der Grünen. ",Interne Diskussionen unter der Decke zu halten,ein geschöntes Bild an die Öffentlichkeit zu bringen,0,0,0,0
50,Die deutsche Debattenkultur liegt im Argen. Ein Blick ins Ausland hilft beim nötigen Perspektivwechsel – verbunden mit der Frage: Wie beurteilen unsere Nachbarländer die Situation? 'Der andere Blick“ lautet ein Format der 'Neuen Zürcher Zeitung'. Chefredakteur Eric Gujer regt zum Nachdenken an.,verbunden mit der Frage,lautet ein Format der,0,0,0,0
51,"Präventive Quarantäne zum Schutz vor den Risiken der Freiheit – das ist die Richtung, in die wir uns bewegen. Der Lockdown wird zu einem politisch regelbaren Dauerzustand, mal locker, mal downer, ob im Flackermodus oder im Jahreszeitenwechsel. Je diffuser die Ängste, desto breiter sind die Anwendungsmöglichkeiten. Das neue Video von Matthias Heitmann. ",Je diffuser die Ängste,desto breiter sind die Anwendungsmöglichkeiten,0,0,0,0
52,"Bislang ist noch unbekannt, wie lange die Wirkung der Corona Impfung anhält. Die Menschen müssten sich deshalb auf Wiederholungen bzw. Auffrischungen einstellen, erklärte RKI Chef Wieler heute: Aber 'Zeitabstände können wir Ihnen einfach noch nicht sagen'. ",wie lange die Wirkung der Corona Impfung anhält,erklärte RKI Chef Wieler heute,0,0,0,0
53,"Wegen des Verdachts der Rechtsbeugung musste der Weimarer Familienrichter, der gegen Masken  und Testpflicht für Schüler entschied, Wohnung, Büro und Auto durchsuchen lassen. Nun bekommt er Schützenhilfe vom Oberlandesgericht in Karlsruhe. ",der gegen Masken  und Testpflicht für Schüler entschied,Büro und Auto durchsuchen lassen,0,0,0,0
54,"„Karlsruhe“ und „Berlin“ spielen trickreich über Bande: Das Bundesverfassungsgericht verlangt strengere Klimagesetze, die Bundesregierung freut sich und strafft sofort die Zügel. Besonders bemerkenswert ist die Argumentationslinie: Sie verlässt den rechtlichen Raum und bewegt sich völlig in den moralischen. Mit fatalen Folgen. ",„Karlsruhe“ und „Berlin“ spielen trickreich über Bande,und strafft sofort die Zügel,0,0,0,0
55,"Das Bundesverfassungsgericht hat den Weg für 'Freiheitseinbußen' für das Klima eröffnet. Ich wollte heute von Merkels Sprecher Seibert wissen, ob die Regierung solche nun plant. Die Antwort war sehr ausweichend: „Warten Sie ab!' Ein 'Nein' klingt jedenfalls anders. ",Die Antwort war sehr ausweichend,Ein 'Nein' klingt jedenfalls anders,0,0,0,0
56,Ich möchte nicht mit einem Demokratiegefährder unter einem Dach leben“ – einer der finstersten Züge unserer Vergangenheit ist zurück: die Denunziation. Eine Mitarbeiterin der SPD Bundestagsfraktion schrieb den Vermieter des Berliner Arztes Paul Brandenburg an. Der Vorwurf: Er lehne öffentlich die Maßnahmen der Regierung gegen Corona ab. Wie gefordert kündigte der Vermieter. Die Denunziantin ist für die SPD gegen 'Hass und Hetze' aktiv.,die Denunziation,Der Vorwurf,0,0,0,1
57,"Neuseeland beklagt nach gut einem Jahr Krise nur 26 Tote. Doch der Preis ist hoch. Ein Leser, der dort wohnt und im November einreiste, musste in die übliche Quarantäne   und berichtet von Hofgang, Ausgehverbot und hermetischer Abriegelung. Ein Bericht. ",Ein Leser,Ein Bericht,0,0,0,0
58,Eine Grundschullehrerin protokolliert die negativen Nebenwirkungen des Maskentragens ihrer Schüler und stößt bei der Rektorin auf taube Ohren. Sie bittet das Familiengericht um Unterstützung. Doch dieses droht mit dem Entzug des Sorgerechts.,Sie bittet das Familiengericht um Unterstützung,Doch dieses droht mit dem Entzug des Sorgerechts,0,0,0,0
59,"Nachdem sie ein Kind von der Maskenpflicht in der Schule befreite, geriet jetzt auch in Bayern eine Richterin ins Visier der Staatsanwaltschaft: Gegen sie laufen Vorermittlungen wegen Verdachts der Rechtsbeugung, nachdem mehrere Anzeigen eingegangen sind. ",Nachdem sie ein Kind von der Maskenpflicht in der Schule befreite,geriet jetzt auch in Bayern eine Richterin ins Visier der Staatsanwaltschaft,0,0,0,0
60,"Nachdem sie ein Kind von der Maskenpflicht in der Schule befreite, geriet jetzt auch in Bayern eine Richterin ins Visier der Staatsanwaltschaft: Gegen sie laufen Vorermittlungen wegen Verdachts der Rechtsbeugung, nachdem mehrere Anzeigen eingegangen sind. ",geriet jetzt auch in Bayern eine Richterin ins Visier der Staatsanwaltschaft,Gegen sie laufen Vorermittlungen wegen Verdachts der Rechtsbeugung,0,0,0,0
